trafficID,num_cars,weatherStamp:,timeStamp,dateStamp,greenTime,avg_last_3_num_cars_A1,avg_last_3_num_cars_B1,avg_last_3_num_cars_C1,avg_last_3_num_cars_D1,avg_last_3_num_cars_C2,avg_last_3_num_cars_D2,avg_last_3_num_cars_C3,avg_last_3_num_cars_D3,avg_last_3_num_cars_A2,avg_last_3_num_cars_D4,avg_last_3_num_cars_A3,avg_last_3_num_cars_C4,avg_last_3_num_cars_A4,avg_last_3_num_cars_B2,avg_last_3_num_cars_B3,avg_last_3_num_cars_B4
A1,47,33,04:16:14,2024-08-01,24,,,,,,,,,,,,,,,,
B1,96,33,04:16:14,2024-08-01,48,47.0,,,,,,,,,,,,,,,
C1,0,33,04:16:14,2024-08-01,3,47.0,96.0,,,,,,,,,,,,,,
D1,0,33,04:16:14,2024-08-01,3,47.0,96.0,0.0,,,,,,,,,,,,,
C2,5,33,04:16:19,2024-08-01,3,47.0,96.0,0.0,0.0,,,,,,,,,,,,
D2,0,33,04:16:19,2024-08-01,3,47.0,96.0,0.0,0.0,5.0,,,,,,,,,,,
C3,60,33,04:16:24,2024-08-01,30,47.0,96.0,0.0,0.0,5.0,0.0,,,,,,,,,,
D3,47,33,04:16:24,2024-08-01,24,47.0,96.0,0.0,0.0,5.0,0.0,60.0,,,,,,,,,
A2,24,33,04:16:40,2024-08-01,12,47.0,96.0,0.0,0.0,5.0,0.0,60.0,47.0,,,,,,,,
D4,61,33,04:16:50,2024-08-01,31,47.0,96.0,0.0,0.0,5.0,0.0,60.0,47.0,24.0,,,,,,,
A3,1,33,04:16:54,2024-08-01,3,47.0,96.0,0.0,0.0,5.0,0.0,60.0,47.0,24.0,61.0,,,,,,
C4,1,33,04:16:56,2024-08-01,3,47.0,96.0,0.0,0.0,5.0,0.0,60.0,47.0,24.0,61.0,1.0,,,,,
A4,0,33,04:16:59,2024-08-01,3,47.0,96.0,0.0,0.0,5.0,0.0,60.0,47.0,24.0,61.0,1.0,1.0,,,,
C1,0,33,04:17:01,2024-08-01,3,47.0,96.0,0.0,0.0,5.0,0.0,60.0,47.0,24.0,61.0,1.0,1.0,0.0,,,
A1,28,33,04:17:04,2024-08-01,14,47.0,96.0,0.0,0.0,5.0,0.0,60.0,47.0,24.0,61.0,1.0,1.0,0.0,,,
B2,0,33,04:17:04,2024-08-01,3,28.0,96.0,0.0,0.0,5.0,0.0,60.0,47.0,24.0,61.0,1.0,1.0,0.0,,,
C2,39,33,04:17:06,2024-08-01,20,28.0,96.0,0.0,0.0,5.0,0.0,60.0,47.0,24.0,61.0,1.0,1.0,0.0,0.0,,
B3,1,33,04:17:09,2024-08-01,3,28.0,96.0,0.0,0.0,39.0,0.0,60.0,47.0,24.0,61.0,1.0,1.0,0.0,0.0,,
B4,43,33,04:17:14,2024-08-01,22,28.0,96.0,0.0,0.0,39.0,0.0,60.0,47.0,24.0,61.0,1.0,1.0,0.0,0.0,1.0,
